post_link,Profile_Link,profile_headline,likes_count,comments_count,post_content
https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6553576442146373632,Tarry Singh,Transforming Enterprises & Industries with Machine Learning & AI,410,38 Comments,"This bowling 🎳 hashtag#robot is real! PS: Hope the Dutch women soccer team can
send curve balls ⚽️ like these consistently today! Lieke Martens
@oranjevrouwen

"
https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A10446044-6553189031767830528,NA,NA,NA,NA,NA
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6553466505575665664,Prudhvi Potuganti,Data Scientist | Craves to Learn | Loves to Solve | Lives to teach,211,6 Comments,"To the point !!

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6553444107421872128,NA,NA,NA,NA,NA
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6553221974619979776,Venkatesh Gupta,Product @ Internshala | Ex - Frontbench| Ed-Tech Enthusiast | Guest Writer at Leading Digital Platforms,93,20 Comments,"Will data decide whom should be love and fall into relationship? Data is
invariably affecting :- What do we think? How do we think? What is making us
to think? Psychometric analysis and likert scale is being employed to asses
one's attitude, behaviour and response to stimuli. Xerox, being worried about
it's call centre executive attrition rate, hired a Standford based startup
Evolv to turn around hiring. Evolv had to hire 50% new recruits. It modelled
employees demographics and psychometric to operational and performance factors
and used that for new hiring. It was found out that the attrition dropped by
40% and the productivity of employees were doubled, for the 50% portion hired
by Evolv compared to traditional hiring process. The global divorce rate has
increased upto 251.8 % since 1960. Relationships are based on too many
constraints. As we are now leaving everything for data to decide, should be
leave our gut feeling and use hard data to decide, whom we should love and be
in a relationship? Can we outdate ""Match Made In Heaven"" to ""Match Made By
Data""? Prudhvi Potuganti Pratyush Choudhury Imaad Mohamed Khan Sivesh Kumar

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6552940560125124608,Imaad Mohamed Khan,Data Science | ML | Co-founder and CTO at Recreate.ai | LinkedIn Content Creator | Mantissa DS Meetups,577,20 Comments,"What do you do when you have a cat that brings dead rats to your house? You
don't allow it to. But how do you do that? And in a way that you don't have to
be there all the time? You use Computer Vision! Yes, an engineer at Amazon,
Ben Hamm built a system that would block his cat out for 15 minutes when it
would try to carry a dead rat into his house through the cat flap in his door.
He spent several months over gathering and hand labelling over 23,000 images
of his cat! He divided it into no cat, cat not on approach, cat on approach
and cat with prey. And he used an Arduino to build the locking system. The
most funny part for me was that whenever he blocked out his cat, he donated
blood money to the Audubon society! Brilliant! This shows us that there are so
many ways of applying Machine Learning in our daily lives and truly, the sky
is the limit! You can check out the talk he gave at a conference for more
details. Link is in the comments. hashtag#datascience hashtag#machinelearning
hashtag#ai hashtag#deeplearning

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6552882217662676992,Dr. Angshuman Ghosh,Data Science - Grab | LinkedIn Spotlight 2019 | Ex - Disney/Target/Wipro | Visiting Prof - IITs/IIMs/XLRI,796,67 Comments,"Do you want to get into Data Science? But, hesitating as you’re afraid of
advanced maths? Myth: You can’t do Data Science without being an expert of
Advanced Maths & Statistics. Fact: Advanced Maths & Statistics are neither a
necessary nor a sufficient condition for becoming a good Data Scientist. I
know many people who are not experts in Maths but are implementing Machine
Learning models creating immense value for organisations. At the same time, I
also know people who are experts of Maths & Statistics but have no business
understanding and can’t create production level models. In modern Data
Science, most of the models have been already coded in the form of packages
that you can use directly with few lines of code without knowing the complex
maths behind them. In fact, this simplification is one of the key reasons for
fast growth of Data Science. If you’re a beginner, learn Python and get your
hands dirty with Machine Learning by using courses like the famous Coursera
course by Andrew Ng. Also, focus on learning about your domain, key variables
in your field and how they impact the desired output of your organisation.
Later, to become a better Data Scientist, learn more about Probability,
Statistics, Linear Algebra etc. from Khan Academy or Coursera. All the best!
👍🏻

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6552813573259788289,Shantanu Kumar,Leading AI Products @ inFeedo | Data Keynotes,52,5 Comments,"The core problem of current AI systems is not so much that they are narrow —
specialisation can be very helpful — but that they are narrow by design; they
freeze in time. For years, selling against buyer egos has always been harder
since we as humans inherently believe we don't yet need intelligent machines
to tell us what to do; we'd rather tell one to act in a certain way. AI as a
tool for automation is how it's currently being built, where it can do one
particular task extremely well and at scale - a useful thought to consider
while building it into your product! hashtag#bootcamp hashtag#entrepreneurship
hashtag#ai hashtag#gebbangkokai

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6552321944832835584,Madhu Sanjeevi (Mady),Into AI Research | keen interest in #Math #Science #Programming #Artificialintelligence #MachineLearning #Psychology,56,9 Comments,"Revisiting hashtag#math is like ######################### Motto for the post.
Thinking to prepare a video course as ""Mathematics for Machine Learning"" Just
only Math involving linear algebra, stats, prob, calculus, geometry. PS: Any
suggestions welcome hashtag#artificialintelligence hashtag#machinelearning
hashtag#mathematics hashtag#computervision hashtag#deeplearning

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6551289951080763393,Anna Nyulund,"Adaptability enforces creativity, and creativity is adaptability",160,239 Comments,"Can anyone recommend any books to distress from work. They must be very
complex and completely unrelated to 1. self-improvement, 2. corporate
politics, 3. human interactions, 4. data science. Something like Biocentrism
or String Theory or Buddhist teachings or Shamanism. The trippier - the
better. I need to switch my mind onto something else, because I keep sitting
and thinking negative thoughts about work and I would like to get out of this
loop - I have been in it for the last 4 days. I've been reading American
philosopher from 1970ies I think - he was really calming, but unfortunately I
forgot his name. Edit: Someone just recommended the Bible. I do not like
reading Bible or Koran, because it is full of murders which I do not like. I
prefer to get to know God through geometric patterns and waves. Thank you.

"
