post_link,Profile_Link,profile_headline,likes_count,comments_count,post_content
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6562888444174004224,Dr Aniruddha Malpani,Angel Investor. Malpani Ventures. Funding frugal innovation in India.,"3,955",596 Comments,"The reason Byju's has been so successful in making money so far is that their
slickly produced videos are designed to appeal to parents, who are the
decision makers. Parents remember their old boring classrooms and textbooks,
and fantasize about how cool it would have been if they had had such videos to
learn from! They forget that just watching videos is not really going to help
their children to learn! However, the Byju's script its salesmen use is
designed to make parents feel guilty if they don't buy, because they are
depriving their children of such a cool teaching resource! The one thing
Byju's teaches well is how to teach its salesmen how to sell!

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6562905373534228480,Srivatsan Srinivasan,"Chief Data Scientist | Data (Big, Huge, Small, Fast, Whatever) | Cloud | Forever Student",603,65 Comments,"When you have large dataset (> 1 million data point), Machine Learning might
not work go for Deep Learning. If you have seen this note multiple times this
post is for you Do not get misguided by such statements. Many ML algos can
scale to very large dataset or even simple ML algos can be made to run on
decent sized dataset by proper data handling DL might be superior on image and
large text dataset but for tabular traditional ML techniques can be as
perform-ant as any DL technique along with benefits like interpretation, ease
of deployment, low inference time etc Many assume as their experience have
been dealing with limitation of memory dependent libraries like Pandas or
similar in R. Without getting into how Pandas can scale Most modern ML
computing framework can be made to run distributed. Spark ML is one such
library that can scale to very large datasets. Spark also supports XGBoost
that can scale XGBoost computation to 100's of nodes with very less deployment
complexity H2O is another library that can distribute most ML algorithm
Libraries like XGBoost can also be distributed on multiple GPU's to scale on
large dataset There is lot to talk on formats like pyarrow and framework like
RAPIDS, but will stop here hashtag#datascience hashtag#machinelearning
hashtag#xgboost hashtag#h2o hashtag#databricks

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6561609124126294016,Srivatsan Srinivasan,"Chief Data Scientist | Data (Big, Huge, Small, Fast, Whatever) | Cloud | Forever Student",152,23 Comments,"If some of the AI Researchers were doctors then treatment for all problems
would have been to get operated Why take a simple problem for which simple
remedies are available and fit complex neural network pipeline and publish as
research papers More and more of this just proves, ""Research does not always
translate to production"". And for enterprise that wants to still deploy it,
""Remember you are solving business problem and not neural network problem""
Neural network is amazing in many tasks and problem. Use it where needed. For
some problem typical ML algorithm does not work where deep learning does a
great job Comments disabled :) hashtag#datascience hashtag#ai
hashtag#artificialintelligence hashtag#ml hashtag#machinelearning

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6560472596746461184,Prudhvi Potuganti,Data Scientist | Craves to Learn | Loves to Solve | Lives to teach,303,45 Comments,"When you are in college and your friend writes a book, you ask for a free copy
When you start working, you buy one for yourself. And now, when my friend,
Ankit Rathi writes a book, you buy a 'lot' of them to gift to right people
(learners) . Learning should be rewarded. I am sending signed copies of this
book to 30 of my best students from End to End Data Science and NLP 100 hours
batches. Tagging first few, I will be giving copies to Ashwini Naidu , Shravya
Chillamcherla , Malathi Vaka Sudhev P Das Avijit Nandy

"
https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6561469630051864577,Ruchi Jaju,Content Writer | Consultant | Sales & Marketing Professional | LinkedIn Enthusiast,105,26 Comments,"Hi, network! Here's another video from my end to break your
hashtag#mondayblues, in the hues of blue ;) This video talks about what type
of hashtag#content you can write on hashtag#LinkedIn I am not talking here
about the different formats of hashtag#contentcreation in text, video, PDFs,
graphics, etc. I mean what kind of information or experience or opinion you
can share through your LinkedIn content. Have a watch and let me know your
opinions on the same or share your struggles of content creation and I will be
happy to address them. :) hashtag#resilientruchi hashtag#linkedincreators
hashtag#linkedinstrategy hashtag#hellolinkedin hashtag#linkedinmarketing
hashtag#linkedincommunity hashtag#writingtips hashtag#contentideas

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6561129667535962112,Ashi Singhal,I help YOU to build YOUR brand on LinkedIn | YOU=Startups+People | Host of Podcast: Demystifying LinkedIn | #demystifyLI,239,75 Comments,"Your 8641 followers on hashtag#LinkedIn don't ensure that they all will read
your content. More number of followers doesn't mean more readership. The
equation doesn't work in that way. The right equation is, More Visibility =
More Readers So, stop focusing on number of followers. Start working to build
your and your content visibility. A person with 375 followers can have 10K+
views on his post with 259 likes and 84 comments. Whereas a person with 17484
followers can have just 348 views on his post with zero likes and comments. It
is very common 🤷 You gotta work on right metric which is VISIBILITY not number
of followers. Ultimately you'll increase your readership. What's your focus on
LinkedIn as of now? Your content or followers or profile or anything else? Let
me know. I can help you in demystifying your next steps 😊 hashtag#demystifLI

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6557928742151393280,Ankit Kumar,"Analyst, SV Research and Analysis - Deloitte India (Offices of the US)",15,20 Comments,"How efficient is this process for identifying the outliers: Low outliers: Q1 −
1.5(IQR) High outliers: Q3 + 1.5(IQR) Any comments? Or is there any other more
optimum process? hashtag#datascience hashtag#statistics
hashtag#artificialintelligence hashtag#bigdata hashtag#analytics

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6560762054792306688,Prudhvi Potuganti,Data Scientist | Craves to Learn | Loves to Solve | Lives to teach,199,3 Comments,"When your mission is a vision When your vision is a mission Anything is
possible Feeling inspired. hashtag#kalam hashtag#salam

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6560378244162551808,Srivatsan Srinivasan,"Chief Data Scientist | Data (Big, Huge, Small, Fast, Whatever) | Cloud | Forever Student",478,43 Comments,"XGBoost (XGB) and Artificial Neural Network (ANN) conversation, who wants to
hear? They meet in a party and start introducing themselves XGB: Hi, I am XGB
ANN: Hi, I am ANN, super star of AI world. Tell me more about yourself XGB:
One does not have to scale data or one hot encode or impute null values when
training on me ANN: Oh really, I can do feature engineering XGB: Is one hot
encoding not feature engineering?. And also I can handle imbalanced dataset to
some extent with scale_pos_weight parameter ANN: aahmmm XGB: Wait, I can also
give feature importance out of the box and can be made explainable to some
extent ANN: Oh Ok.. I will be back with my cousins CNN and RNN to talk to you
XGB: Sure some other day as this is tabular data party. Others are not allowed
and I do not go much to other side of the party Happy Friday. :) Don't start
ANN vs XGBoost debate please. This was to explain some of XGBoost features. If
you have not seen my old XGBoost tip check my first comment below
hashtag#datascience hashtag#datascientist hashtag#ai hashtag#ml
hashtag#artificialintelligence hashtag#machinelearning hashtag#neuralnetwork

"
https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6560034810000179200,Ankit Rathi,Lead Architect - Data & AI | Author | Speaker | All views are my own,299,15 Comments,"DS/AI Practitioners & Enthusiasts I admire & follow Recently I saw a few posts
on LinkedIn where fellow DS/AI practitioners & enthusiasts shared whom they
admire & follow. That got me thinking & I compiled my own list & posting it
here as a tribute to these wonderful people, whose work inspires and motivates
me. Bernard Marr, Peter James Thomas, George Firican, Srivatsan Srinivasan,
Sudalai Rajkumar, Dipanjan Sarkar, Tirthajyoti Sarkar, Prudhvi Potuganti,
Parul Pandey hashtag#DataDeft hashtag#DSAIwithAR
hashtag#ArtificialIntelligence hashtag#DataScience hashtag#MachineLearning
hashtag#PredictiveAnalytics

"
