post_link,Profile_Link,profile_headline,likes_count,comments_count,post_content
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6582321944736206849,Ankit Rathi,Lead Architect - Data & AI | Author | Speaker | All views are my own,160,10 Comments,"Connections crossed 30K limit, can't accept anymore requests, please hit
follow. hashtag#ArtificialIntelligence hashtag#MachineLearning
hashtag#DataScience hashtag#DataDeft hashtag#AIwithAR

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6582108127204859904,Ankit Rathi,Lead Architect - Data & AI | Author | Speaker | All views are my own,98,20 Comments,"How to get my latest book for free? Yes, you read it right, you can get my
latest book 'DS/AI Self-Starter Handbook' (ebook version) for free if you: 1\.
Participate in the discussions on my daily posts 2\. Share my posts & blogs
with your network 3\. Tag me if you have posted an awesome content Every week
I will pick top 3 supporters/followers who will get my book. Are you game?
hashtag#ArtificialIntelligence hashtag#MachineLearning hashtag#DataScience
hashtag#DataDeft hashtag#AIwithAR

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6577068988474462208,Prudhvi Potuganti,Data Scientist | Craves to Learn | Loves to Solve | Lives to teach,529,56 Comments,"\-------------- Rewarding my followers ----------------- I have analyzed data
and figured out my top 5 followers I am gifting them with Ankit Rathi book on
Self help AI/ DS for this month for encouraging my posts consistently. I
gained a lot because of you - connections and followers. So every month, I
will perform this analysis and reward. This month reward goes to Sachin
Tripathi NAMACHIVAYAM D Chakravarthi Palvadi Santosh Chidura Samba Kumar
Burugu This month criteria was only number of likes on my past few months
posts. From next month, we will have a complex criteria - likes on my posts,
comments and interactions over PM. Business understanding for Data is really
important. I teach it in my End to End course and put it to practice. Next
cohort for End to End Data Science course is open. Amit Choudhary : You will
love this use case. Preksha Kaparwan ""Alphaa, please tell me who are my top 5
followers ? Wanna do it ?""

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6581554901342613504,Sachin Jaisar,Supply Chain Analyst at General Mills,57,15 Comments,"Day24: hashtag#30daysofcode Today someone asked, what is the correlation
coefficient for marginal utility. After telling that correlation in actual is
a linear correlation and gives positive,negative or 0 from -1 to +1 when there
is increasing slope, decreasing slope or no slope( parallel to x-axis)
respectively, he asked, then what will be the slope of marginal utility as it
satisfies all the three possibilities. To answer it, I took the help of
python: Now the curve for marginal utility is a parabola. Prudhvi Potuganti
Amit Choudhary Dhinesh S Is my understanding of correlation right? Is there
anything else that I could say for explaining it more clearly?
hashtag#not_a_concise_code

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6581139857836474368,Souradip Chakraborty,Data Scientist @Walmart Labs India || Google Developer Expert ML || Indian Statistical Institute,78,7 Comments,"Many a times, while using a loss function in supervised learning tasks, we
tend to forget certain very important mathematical properties and assumptions
of the same. Have you ever given a thought on what will happen if we use Mean
Squared Error instead of LogLoss in case of Logistic regression given that it
is called regression. Our blog (mine and Rajesh Shreedhar Bhat) 'Why not Mean
Squared Error(MSE) as a loss function for Logistic Regression' shows that why
log loss is recommended for Logistic regression using mathematical
justifications considering the convexity and penalising aspects of both the
loss functions. It has been published in Towards Data Science (Online
Publication).Would be happy to hear your comments/feedback on the same and
feel free to click on 👏 if you like the content of the blog.
hashtag#logisticregression hashtag#machinelearning hashtag#datascience
hashtag#mse hashtag#classification hashtag#logloss hashtag#supervisedlearning
hashtag#regression hashtag#statistical hashtag#machineintelligence
hashtag#machinelearningalgorithms

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6581071244744056832,Prudhvi Potuganti,Data Scientist | Craves to Learn | Loves to Solve | Lives to teach,328,36 Comments,"Not a single ad placed. Not a single follow up done. Closed enrollments for
end to end Data science course Batch 7 SupervisedLearning.com . Kicking off
tomorrow. Thank you everyone who joined and who were a part of 7 batches of
Data science and one batch of NLP till date. I have got some of the best
compliments this time including one person who was ready to pay 5 times for
the content. As timings didnt match, a few were ready for next batch. Content
is the king. And drive for excellence continues. And the fight for affordable
AI education is ON. !!

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6581209091484553216,Amit Choudhary,Educator l Building Data Pipelines for solving problems l Fractal Analytics Academy,16,1 Comment,"You know you are doing great when people are talking about it. You know you
are actually teaching when people come to you first rather than your ads
reaching them. Definitely recommended for anyone ready to invest sufficient
time and effort in real machine learning. Congrats Prudhvi Potuganti. Keep
doing the good work!

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6580472660466196480,Ritesh Bhagwat,Data Scientist | Applied Mathematics | Spiritually Bayesian!,136,6 Comments,"Again hashtag#sarcasm ahead.. Life was going on nicely. I was working in data
science and was always sure about everything (pun intended ;-) )..then I came
across the Monty Hall problem and then all the ""intelligence"" went for a
""toss"" (again pun intended) :-). Then slowly and gradually I began to
understand that wisdom is different from Intelligence !! That is when I became
a life long student of hashtag#bayesian statistics! hashtag#machinelearning
hashtag#artificialintelligence hashtag#datascience hashtag#probability
hashtag#mathematics

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6580443937402654720,Shubhi Saxena,Conversational AI | Finance | Tech,100,5 Comments,"I will be consolidating all my experience of building great conversational AI
solutions at Yellow Messenger in a tech talk on 'Hacking the ML and NLP behind
chatbots' at hashtag#Pyladies Meetup next Saturday. Drop by Gojek Tech's
office on Sept 28 if you like to learn cool stuff! RSVP :
https://lnkd.in/fwpxqmn hashtag#conversationalai hashtag#ml hashtag#techtalk
hashtag#nlp hashtag#chatbots hashtag#meetup

"
https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6580428145906802688,Preksha Kaparwan,"CMO @alphaa ai, Natural Language Search for Data. AI, NLP for Tableau",575,68 Comments,"Being an hashtag#enterprenuer doesn't mean you need to have a specific talent
or skill... . It simply means you need to know how to hashtag#sell, and then
build whatever people are buying. 😉 . hashtag#business hashtag#career
hashtag#theindiandream

"
